,id,loan_amnt,term,installment,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti,fico_range_low,fico_range_high,last_credit_pull_d,last_fico_range_high,last_fico_range_low,acc_now_delinq,delinq_amnt,delinq_2yrs,mths_since_last_delinq,mths_since_last_record,inq_last_6mths,inq_last_12m,inq_last_6mnths
10599,66525476,0.9761162012404317,1,0.606300739719379,7,2,0.5889093832006802,0,1,3,33,0.07257114729143145,2,2,4,4,4,0,-0.02481415633827177,1,-0.4327217058098439,-0.4478217355196883,3,0.0,2.5024700092579577
46463,60851796,-0.8312259219184963,0,-0.5002363022821832,1,3,0.7588028196500791,1,1,10,42,-0.14600884270114253,2,2,4,1,1,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,0.0,-0.7016736138911017
63379,56041714,-0.3922185292268955,1,-0.5369111536257379,2,3,-0.5663659846552326,2,1,2,13,0.13084606383343728,2,2,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,1,0.0,0.3663742604919181
27842,55481839,1.2611859367544582,1,1.109007070269527,1,2,-0.3794832045608938,1,1,1,4,-0.09224679848393852,1,2,4,4,4,0,-0.02481415633827177,0,0.9928244799928189,-0.4478217355196883,0,0.0,-0.7016736138911017
72918,70853952,-0.6202743176381167,1,-0.8702072921956164,8,3,-0.7702381083945113,2,1,1,4,0.02655947076247399,2,2,4,2,2,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,1,2.0,0.3663742604919181
21013,61449107,-1.1904137886661696,0,-1.0669701714227005,4,2,-0.6513127028799321,2,1,8,9,0.1818611422877184,2,2,4,4,4,0,-0.02481415633827177,0,0.5176424180585979,-0.4478217355196883,0,0.0,-0.7016736138911017
2079,46386625,1.8997421443058777,0,2.669146039348695,2,1,-0.0906643625969156,2,1,2,21,0.1605721576250665,2,2,4,1,1,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,0.0,-0.7016736138911017
47419,60801263,0.6340325186236,1,0.1861511875074419,5,1,0.24912251030188226,2,1,1,5,0.1678319957127911,2,2,4,1,1,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,2,0.0,1.434422134874938
61707,66491396,-1.076385894460559,0,-0.9642345522824917,2,3,-0.6003446719451124,1,1,2,4,0.10445557132535718,1,1,4,4,4,0,-0.02481415633827177,1,-0.2599282287428545,-0.4478217355196883,2,0.0,1.434422134874938
27405,79021521,1.3410054626983856,1,1.305808312311824,2,2,1.3364405035780356,2,1,2,33,0.03715491013374779,2,2,4,2,2,0,-0.02481415633827177,0,2.072783711661503,-0.4478217355196883,1,2.0,0.3663742604919181
3663,69712440,-1.1904137886661696,0,-1.0927883460609977,1,3,-0.24356845540137465,2,1,2,5,0.12623508558853108,1,2,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,0.0,-0.7016736138911017
51239,68865001,0.730956228698369,1,0.41767077731743485,3,3,0.004475961814747802,1,1,2,4,-0.08802824391944988,2,2,4,1,1,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,0.0,-0.7016736138911017
55515,66035349,-0.16416274081567428,0,-0.06385927923517966,7,2,0.41901594675128123,1,1,2,21,0.0145905485097388,1,1,4,1,1,0,-0.02481415633827177,0,0.7768326336590821,-0.4478217355196883,1,0.0,0.3663742604919181
64482,55091255,-0.2781906350212849,0,0.021536347428787763,2,3,-0.5731617221132086,2,1,2,4,0.12829530991072316,2,2,4,1,1,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,1,0.0,0.3663742604919181
50345,74503823,-0.3922185292268955,1,-0.5623457001119061,3,3,-0.7192700774596916,1,1,1,34,0.015081078110260743,2,2,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,1.0,-0.7016736138911017
5412,37732152,-1.5895114183858068,0,-1.5290119178471497,1,3,-0.7702381083945113,1,1,2,4,-0.003264728949259614,1,1,4,4,4,0,-0.02481415633827177,0,0.6904358951255873,-0.4478217355196883,0,0.0,-0.7016736138911017
8033,60095782,0.5200046244179893,1,0.028595105427965572,6,3,0.1811651357221227,0,1,2,33,-0.09911421289124561,2,2,4,4,4,0,-0.02481415633827177,1,0.04246035612437699,-0.4478217355196883,2,0.0,1.434422134874938
79784,38539365,0.29194883600676813,1,0.15047376935942333,4,3,-0.2350737835789047,2,1,2,42,0.08336279850291398,2,2,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,2,0.0,1.434422134874938
75310,55238982,-0.5433054890493295,1,-0.8036094449859814,7,3,-0.4814192664305332,0,1,1,33,0.01370759522879932,2,2,4,1,1,0,-0.02481415633827177,0,2.159180450194998,-0.4478217355196883,1,0.0,0.3663742604919181
76710,41780653,-0.11855158313343005,0,-0.027990047011096426,2,3,-0.11614837806432544,0,1,1,34,-0.041820355550283655,2,2,4,1,1,0,-0.02481415633827177,0,1.7703951267942715,-0.4478217355196883,0,0.0,-0.7016736138911017
7009,44046778,-0.5204999102082074,1,-0.5121287749981895,9,1,-0.6003446719451124,2,1,2,33,-0.002676093428633305,1,1,4,4,4,0,-0.02481415633827177,0,2.4183706657954818,0.9426052951654367,0,0.0,-0.7016736138911017
23668,39340539,0.5200046244179893,1,-0.07122493975606102,1,3,-0.46442992278559325,1,1,2,33,0.03538900357186879,2,2,4,4,4,0,-0.02481415633827177,0,2.0295853423947556,-0.4478217355196883,0,0.0,-0.7016736138911017
25423,46674987,-0.6202743176381167,1,-0.8638390648702712,2,1,-0.26055779904631454,1,1,5,34,0.03303446148936352,1,2,4,1,1,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,1,0.0,0.3663742604919181
52541,46285062,-0.050134846610063684,0,0.16298004711883632,1,3,-0.6003446719451124,0,1,2,5,0.1227032724647731,2,2,4,4,4,0,-0.02481415633827177,1,-0.562316813610086,-0.4478217355196883,0,0.0,-0.7016736138911017
44093,36712418,0.5570636900348128,0,1.0837643378594235,5,3,-0.26055779904631454,0,1,7,42,-0.12118804491473266,2,2,4,4,4,0,-0.02481415633827177,0,0.5608407873253453,-0.4478217355196883,0,0.0,-0.7016736138911017
30327,60385934,-0.9367017240586861,0,-0.7743002541633079,1,3,0.07922907385248333,0,1,2,18,0.057364729675251476,2,2,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,1,0.0,0.3663742604919181
42467,46234350,-1.1904137886661696,0,-1.1165349286777975,10,1,-0.17561108082161508,2,1,6,33,0.06864691048725595,2,2,4,4,4,0,-0.02481415633827177,0,0.4744440487918506,-0.4478217355196883,2,0.0,1.434422134874938
7109,86902348,0.06389304759554691,0,0.3056513568956984,2,1,-0.26055779904631454,1,1,2,32,0.01194168866692036,2,2,4,2,2,0,-0.02481415633827177,0,2.547965773595724,2.228750298549177,0,5.0,-0.7016736138911017
38988,38752139,-0.050134846610063684,0,0.16574216981416667,1,1,-0.3964725482058337,0,1,2,2,0.01792614979328795,2,2,4,3,2,0,-0.02481415633827177,2,0.04246035612437699,-0.4478217355196883,1,0.0,0.3663742604919181
51784,73221372,1.0901440954460424,1,0.4253817031752324,4,1,0.31707988488164185,2,1,1,33,0.07777076105696393,1,2,4,1,1,0,-0.02481415633827177,3,-0.6055151828768334,-0.4478217355196883,1,1.0,0.3663742604919181
9534,51706266,-0.3922185292268955,0,-0.32936832332382254,6,1,-0.0906643625969156,0,1,3,1,0.08836620042823773,2,2,4,2,2,0,-0.02481415633827177,1,0.1288570946578717,-0.4478217355196883,0,0.0,-0.7016736138911017
75872,58141309,-0.3922185292268955,0,-0.1831292717321586,3,1,-0.5833553283001726,2,1,2,18,0.01478676034994757,1,1,4,4,4,0,-0.02481415633827177,0,0.8632293721925768,-0.4478217355196883,0,0.0,-0.7016736138911017
48363,51446283,-1.5324974712830015,0,-1.4880404311997475,1,3,-0.6003446719451124,1,1,7,25,-0.030636280658383544,1,1,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,2.3330323258505614,0,0.0,-0.7016736138911017
14076,38657658,-0.6202743176381167,0,-0.45147716414655764,5,3,-0.26055779904631454,1,1,1,17,-0.07861007558942873,2,2,4,1,1,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,3,0.0,2.5024700092579577
8146,42454868,0.29194883600676813,0,0.5041021999921511,2,3,1.6932167201217732,2,1,2,31,-0.1357077210901819,2,2,4,1,1,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,0.0,-0.7016736138911017
6991,55502436,0.9761162012404317,1,0.786068891807138,1,3,0.38503725946140144,1,1,2,22,0.03872460485541798,2,2,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.20449700514979144,0,0.0,-0.7016736138911017
44866,61443886,-1.646525365488612,0,-1.6251874955859487,2,3,0.2788538616805271,1,1,11,19,-0.07036917830066024,2,2,4,2,2,0,-0.02481415633827177,1,-0.0007380131423703623,-0.4478217355196883,1,0.0,0.3663742604919181
48982,42374498,-0.3922185292268955,1,-0.7161422263005162,10,3,-0.6513127028799321,1,1,1,30,-0.04221277923070119,2,2,4,2,2,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,0.0,-0.7016736138911017
71140,77018760,1.3866166203806298,1,1.2964477853998706,10,1,-0.26055779904631454,1,1,3,3,-0.08233810055339544,1,1,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,1.7073401620422552,1,4.0,0.3663742604919181
21603,65875679,-0.3922185292268955,0,-0.2569776910170361,7,1,0.41901594675128123,1,1,1,3,-0.10578541545834391,2,2,4,4,4,0,-0.02481415633827177,0,1.0792212185263135,-0.4478217355196883,0,0.0,-0.7016736138911017
48056,42404731,2.2304230375021485,0,2.8320729155579807,5,3,1.3534298472229753,2,1,1,30,-0.03132302209911426,1,1,4,4,4,0,-0.02481415633827177,1,0.08565872539112435,-0.4478217355196883,0,0.0,-0.7016736138911017
76512,46095236,2.2304230375021485,1,2.028065034325533,2,1,0.19883405311286018,2,1,2,42,-0.04751049891633811,2,2,4,4,4,0,-0.02481415633827177,0,1.7703951267942715,-0.4478217355196883,1,0.0,0.3663742604919181
24446,39641809,-0.6601840806100804,0,-0.5847495841962536,6,3,-0.005717644372216135,1,1,1,4,-0.15111035054657063,2,2,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,0.0,-0.7016736138911017
10749,38646931,0.29194883600676813,1,-0.20660731464246773,3,1,-0.5493766410102927,1,1,1,21,0.09376202603397901,2,2,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,1,0.0,0.3663742604919181
